Physics,Chemistry,Maths,Total,Category,Percentile,Rank
95,73,97,265,SC,96.25,1406
96,81,92,269,General,96.25,1406
85,94,88,267,OBC,96.25,1406
69,98,100,267,OBC,96.25,1406
71,99,95,265,SC,96.25,1406
86,90,93,269,General,96.25,1406
78,93,96,267,OBC,96.25,1406
80,99,90,269,General,96.25,1406
73,93,98,264,SC,96.13,1497
84,86,96,266,OBC,96.13,1497
83,88,95,266,OBC,96.13,1497
86,92,90,268,General,96.13,1497
90,97,81,268,General,96.13,1497
99,90,77,266,OBC,96.13,1497
94,80,88,262,ST,96.13,1497
83,85,99,267,EWS,96.13,1497
100,84,78,262,ST,96.13,1497
100,80,82,262,ST,96.13,1497
97,80,87,264,SC,96.13,1497
90,81,91,262,ST,96.13,1497
86,88,93,267,EWS,96.13,1497
95,80,93,268,General,96.13,1497
88,85,91,264,SC,96.13,1497
83,84,99,266,OBC,96.13,1497
92,92,82,266,OBC,96.13,1497
92,78,94,264,SC,96.13,1497
98,73,95,266,OBC,96.13,1497
73,100,89,262,ST,96.13,1497
90,87,91,268,General,96.13,1497
98,85,79,262,ST,96.13,1497
93,92,81,266,OBC,96.13,1497
79,92,97,268,General,96.13,1497
100,88,76,264,SC,96.13,1497
100,98,70,268,General,96.13,1497
84,85,98,267,EWS,96.13,1497
73,95,100,268,General,96.13,1497
97,76,94,267,EWS,96.13,1497
86,97,83,266,OBC,96.13,1497
94,77,95,266,OBC,96.13,1497
92,75,98,265,OBC,96.0,1600
92,76,95,263,SC,96.0,1600
76,99,90,265,OBC,96.0,1600
78,98,91,267,General,96.0,1600
96,70,100,266,EWS,96.0,1600
96,99,68,263,SC,96.0,1600
92,91,82,265,OBC,96.0,1600
91,90,85,266,EWS,96.0,1600
92,81,94,267,General,96.0,1600
90,82,93,265,OBC,96.0,1600
97,83,81,261,ST,96.0,1600
91,88,86,265,OBC,96.0,1600
67,100,96,263,SC,96.0,1600
87,86,92,265,OBC,96.0,1600
93,89,85,267,General,96.0,1600
91,73,97,261,ST,96.0,1600
89,93,85,267,General,96.0,1600
78,92,97,267,General,96.0,1600
100,98,67,265,OBC,96.0,1600
71,97,97,265,OBC,96.0,1600
98,72,93,263,SC,96.0,1600
99,68,99,266,EWS,96.0,1600
94,73,98,265,OBC,96.0,1600
96,87,82,265,OBC,96.0,1600
90,78,97,265,OBC,96.0,1600
91,97,78,266,EWS,96.0,1600
81,94,92,267,General,96.0,1600
83,91,91,265,OBC,96.0,1600
80,94,91,265,OBC,96.0,1600
76,93,96,265,OBC,96.0,1600
95,78,94,267,General,96.0,1600
98,78,91,267,General,96.0,1600
96,73,94,263,SC,96.0,1600
92,81,91,264,OBC,95.88,1697
74,92,98,264,OBC,95.88,1697
78,90,94,262,SC,95.88,1697
98,79,83,260,ST,95.88,1697
98,71,97,266,General,95.88,1697
69,97,98,264,OBC,95.88,1697
83,97,86,266,General,95.88,1697
94,70,100,264,OBC,95.88,1697
93,90,81,264,OBC,95.88,1697
94,75,97,266,General,95.88,1697
83,93,90,266,General,95.88,1697
83,86,97,266,General,95.88,1697
91,89,86,266,General,95.88,1697
89,78,99,266,General,95.88,1697
91,75,96,262,SC,95.88,1697
95,91,80,266,General,95.88,1697
76,94,96,266,General,95.88,1697
95,92,79,266,General,95.88,1697
79,93,93,265,EWS,95.88,1697
89,99,78,266,General,95.88,1697
82,90,94,266,General,95.88,1697
97,69,99,265,EWS,95.88,1697
99,78,85,262,SC,95.88,1697
92,89,84,265,EWS,95.88,1697
89,91,84,264,OBC,95.88,1697
81,99,82,262,SC,95.88,1697
78,95,92,265,EWS,95.88,1697
97,99,70,266,General,95.88,1697
85,88,89,262,SC,95.88,1697
100,86,74,260,ST,95.88,1697
90,97,78,265,EWS,95.88,1697
90,84,89,263,OBC,95.75,1806
99,85,81,265,General,95.75,1806
79,86,99,264,EWS,95.75,1806
83,87,94,264,EWS,95.75,1806
84,97,84,265,General,95.75,1806
75,93,93,261,SC,95.75,1806
73,100,92,265,General,95.75,1806
93,95,77,265,General,95.75,1806
81,96,82,259,ST,95.75,1806
89,98,78,265,General,95.75,1806
97,95,69,261,SC,95.75,1806
99,66,99,264,EWS,95.75,1806
82,95,86,263,OBC,95.75,1806
92,80,93,265,General,95.75,1806
88,98,75,261,SC,95.75,1806
72,96,95,263,OBC,95.75,1806
99,91,73,263,OBC,95.75,1806
81,92,88,261,SC,95.75,1806
97,68,94,259,ST,95.75,1806
91,79,95,265,General,95.75,1806
69,92,100,261,SC,95.75,1806
86,95,82,263,OBC,95.75,1806
82,100,81,263,OBC,95.75,1806
74,93,96,263,OBC,95.75,1806
97,93,75,265,General,95.75,1806
98,76,91,265,General,95.75,1806
100,77,86,263,OBC,95.75,1806
84,84,91,259,ST,95.75,1806
77,98,86,261,SC,95.75,1806
82,95,86,263,OBC,95.75,1806
86,96,76,258,ST,95.62,1918
70,100,92,262,OBC,95.62,1918
93,83,88,264,General,95.62,1918
93,95,76,264,General,95.62,1918
83,81,100,264,General,95.62,1918
94,93,75,262,OBC,95.62,1918
82,81,99,262,OBC,95.62,1918
71,92,97,260,SC,95.62,1918
85,92,85,262,OBC,95.62,1918
78,93,93,264,General,95.62,1918
93,93,78,264,General,95.62,1918
95,100,67,262,OBC,95.62,1918
94,83,85,262,OBC,95.62,1918
77,92,95,264,General,95.62,1918
92,84,84,260,SC,95.62,1918
99,79,82,260,SC,95.62,1918
73,97,92,262,OBC,95.62,1918
81,96,85,262,OBC,95.62,1918
65,100,95,260,SC,95.62,1918
98,97,68,263,EWS,95.62,1918
99,87,78,264,General,95.62,1918
78,91,94,263,EWS,95.62,1918
98,81,81,260,SC,95.62,1918
71,96,97,264,General,95.62,1918
69,99,95,263,EWS,95.62,1918
81,100,82,263,EWS,95.62,1918
91,74,99,264,General,95.62,1918
62,100,100,262,OBC,95.62,1918
99,69,94,262,OBC,95.62,1918
82,93,89,264,General,95.62,1918
93,80,91,264,General,95.62,1918
83,98,82,263,EWS,95.62,1918
82,96,84,262,OBC,95.62,1918
73,97,94,264,General,95.62,1918
82,93,83,258,ST,95.62,1918
98,92,73,263,EWS,95.62,1918
81,88,95,264,General,95.62,1918
69,92,99,260,SC,95.62,1918
100,66,98,264,General,95.62,1918
93,94,77,264,General,95.62,1918
78,89,96,263,EWS,95.62,1918
88,100,75,263,EWS,95.62,1918
98,83,77,258,ST,95.62,1918
73,92,99,264,General,95.62,1918
66,95,98,259,SC,95.5,2025
91,86,84,261,OBC,95.5,2025
98,96,69,263,General,95.5,2025
74,94,95,263,General,95.5,2025
91,99,71,261,OBC,95.5,2025
90,97,74,261,OBC,95.5,2025
79,100,84,263,General,95.5,2025
92,93,76,261,OBC,95.5,2025
78,100,85,263,General,95.5,2025
73,92,96,261,OBC,95.5,2025
97,99,65,261,OBC,95.5,2025
97,91,75,263,General,95.5,2025
84,100,77,261,OBC,95.5,2025
85,93,79,257,ST,95.5,2025
79,90,88,257,ST,95.5,2025
89,75,97,261,OBC,95.5,2025
80,89,94,263,General,95.5,2025
98,74,89,261,OBC,95.5,2025
67,96,100,263,General,95.5,2025
85,79,97,261,OBC,95.5,2025
99,89,75,263,General,95.5,2025
93,90,80,263,General,95.5,2025
96,70,95,261,OBC,95.5,2025
96,79,86,261,OBC,95.5,2025
71,94,97,262,EWS,95.5,2025
93,87,81,261,OBC,95.5,2025
99,76,88,263,General,95.5,2025
95,78,89,262,EWS,95.5,2025
92,96,73,261,OBC,95.5,2025
68,97,97,262,EWS,95.5,2025
88,79,96,263,General,95.5,2025
97,74,91,262,EWS,95.5,2025
85,77,95,257,ST,95.5,2025
89,73,100,262,EWS,95.5,2025
63,95,99,257,ST,95.5,2025
88,77,98,263,General,95.5,2025
79,99,81,259,SC,95.5,2025
92,87,82,261,OBC,95.5,2025
71,98,92,261,OBC,95.5,2025
93,99,67,259,SC,95.5,2025
79,97,87,263,General,95.5,2025
100,83,80,263,General,95.5,2025
96,65,100,261,OBC,95.5,2025
75,82,100,257,ST,95.5,2025
99,96,67,262,General,95.37,2143
97,76,85,258,SC,95.37,2143
96,99,65,260,OBC,95.37,2143
93,96,73,262,General,95.37,2143
75,95,92,262,General,95.37,2143
84,84,90,258,SC,95.37,2143
74,92,95,261,EWS,95.37,2143
90,84,88,262,General,95.37,2143
80,87,93,260,OBC,95.37,2143
73,96,93,262,General,95.37,2143
68,97,97,262,General,95.37,2143
93,69,100,262,General,95.37,2143
95,74,93,262,General,95.37,2143
70,95,91,256,ST,95.37,2143
94,90,76,260,OBC,95.37,2143
65,100,95,260,OBC,95.37,2143
67,98,95,260,OBC,95.37,2143
87,85,90,262,General,95.37,2143
89,82,90,261,EWS,95.37,2143
74,97,87,258,SC,95.37,2143
95,86,81,262,General,95.37,2143
93,75,94,262,General,95.37,2143
92,78,90,260,OBC,95.37,2143
74,95,91,260,OBC,95.37,2143
100,88,74,262,General,95.37,2143
91,74,96,261,EWS,95.37,2143
79,94,89,262,General,95.37,2143
83,79,100,262,General,95.37,2143
83,78,99,260,OBC,95.37,2143
84,86,86,256,ST,95.37,2143
71,99,88,258,SC,95.37,2143
98,61,99,258,SC,95.37,2143
90,91,81,262,General,95.37,2143
69,99,90,258,SC,95.37,2143
100,93,67,260,OBC,95.37,2143
96,95,71,262,General,95.37,2143
96,100,66,262,General,95.37,2143
68,97,95,260,OBC,95.37,2143
95,94,73,262,General,95.37,2143
100,85,75,260,OBC,95.37,2143
98,69,95,262,General,95.37,2143
89,74,99,262,General,95.37,2143
92,72,98,262,General,95.37,2143
96,97,67,260,OBC,95.37,2143
86,78,96,260,OBC,95.37,2143
97,70,93,260,OBC,95.37,2143
84,99,79,262,General,95.37,2143
99,87,75,261,EWS,95.37,2143
94,98,68,260,OBC,95.37,2143
86,85,89,260,OBC,95.37,2143
98,95,66,259,OBC,95.24,2265
78,80,97,255,ST,95.24,2265
89,79,93,261,General,95.24,2265
96,92,71,259,OBC,95.24,2265
100,68,91,259,OBC,95.24,2265
96,84,79,259,OBC,95.24,2265
87,83,89,259,OBC,95.24,2265
100,86,75,261,General,95.24,2265
81,84,94,259,OBC,95.24,2265
100,80,81,261,General,95.24,2265
86,92,83,261,General,95.24,2265
90,79,88,257,SC,95.24,2265
93,65,99,257,SC,95.24,2265
96,72,91,259,OBC,95.24,2265
100,93,66,259,OBC,95.24,2265
85,84,90,259,OBC,95.24,2265
86,99,76,261,General,95.24,2265
100,68,91,259,OBC,95.24,2265
76,87,97,260,EWS,95.24,2265
99,89,73,261,General,95.24,2265
76,89,94,259,OBC,95.24,2265
74,100,86,260,EWS,95.24,2265
86,96,78,260,EWS,95.24,2265
97,72,90,259,OBC,95.24,2265
88,73,100,261,General,95.24,2265
94,81,84,259,OBC,95.24,2265
86,80,95,261,General,95.24,2265
84,80,95,259,OBC,95.24,2265
93,70,98,261,General,95.24,2265
87,76,94,257,SC,95.24,2265
70,92,97,259,OBC,95.24,2265
85,93,83,261,General,95.24,2265
74,96,91,261,General,95.24,2265
93,81,87,261,General,95.24,2265
94,89,76,259,OBC,95.24,2265
93,80,82,255,ST,95.24,2265
100,95,64,259,OBC,95.24,2265
60,100,99,259,OBC,95.24,2265
90,72,99,261,General,95.24,2265
96,98,67,261,General,95.24,2265
95,70,95,260,EWS,95.24,2265
70,91,98,259,OBC,95.24,2265
74,87,99,260,General,95.11,2391
90,76,93,259,EWS,95.11,2391
89,76,95,260,General,95.11,2391
89,70,99,258,OBC,95.11,2391
100,74,84,258,OBC,95.11,2391
82,93,85,260,General,95.11,2391
98,67,89,254,ST,95.11,2391
79,95,82,256,SC,95.11,2391
63,98,99,260,General,95.11,2391
86,96,76,258,OBC,95.11,2391
87,96,73,256,SC,95.11,2391
79,84,97,260,General,95.11,2391
98,83,77,258,OBC,95.11,2391
98,76,86,260,General,95.11,2391
99,58,99,256,SC,95.11,2391
89,97,74,260,General,95.11,2391
84,100,72,256,SC,95.11,2391
95,96,69,260,General,95.11,2391
91,100,68,259,EWS,95.11,2391
58,100,100,258,OBC,95.11,2391
97,82,77,256,SC,95.11,2391
80,84,94,258,OBC,95.11,2391
74,91,95,260,General,95.11,2391
95,84,79,258,OBC,95.11,2391
100,64,96,260,General,95.11,2391
96,84,78,258,OBC,95.11,2391
99,62,95,256,SC,95.11,2391
91,80,88,259,EWS,95.11,2391
91,89,74,254,ST,95.11,2391
94,87,75,256,SC,95.11,2391
78,90,90,258,OBC,95.11,2391
87,94,79,260,General,95.11,2391
74,92,92,258,OBC,95.11,2391
96,99,63,258,OBC,95.11,2391
86,74,96,256,SC,95.11,2391
74,87,95,256,SC,95.11,2391
82,75,99,256,SC,95.11,2391
99,64,96,259,EWS,95.11,2391
91,81,86,258,OBC,95.11,2391
95,73,88,256,SC,95.11,2391
99,95,66,260,General,95.11,2391
96,67,97,260,General,95.11,2391
72,87,99,258,OBC,95.11,2391
65,96,95,256,SC,95.11,2391
91,64,99,254,ST,95.11,2391
89,86,81,256,SC,95.11,2391
88,72,94,254,ST,95.11,2391
78,97,84,259,EWS,95.11,2391
94,100,66,260,General,95.11,2391
91,70,99,260,General,95.11,2391
91,71,95,257,OBC,94.99,2510
92,79,86,257,OBC,94.99,2510
86,95,74,255,SC,94.99,2510
83,80,94,257,OBC,94.99,2510
69,87,99,255,SC,94.99,2510
91,90,76,257,OBC,94.99,2510
61,99,99,259,General,94.99,2510
90,82,85,257,OBC,94.99,2510
71,100,86,257,OBC,94.99,2510
90,68,99,257,OBC,94.99,2510
78,99,82,259,General,94.99,2510
90,100,65,255,SC,94.99,2510
70,97,92,259,General,94.99,2510
100,88,69,257,OBC,94.99,2510
69,84,100,253,ST,94.99,2510
100,77,78,255,SC,94.99,2510
68,92,98,258,EWS,94.99,2510
91,81,85,257,OBC,94.99,2510
84,76,97,257,OBC,94.99,2510
92,68,99,259,General,94.99,2510
78,81,98,257,OBC,94.99,2510
87,82,90,259,General,94.99,2510
83,84,92,259,General,94.99,2510
89,77,89,255,SC,94.99,2510
87,89,83,259,General,94.99,2510
95,94,68,257,OBC,94.99,2510
97,87,74,258,EWS,94.99,2510
92,96,70,258,EWS,94.99,2510
97,86,76,259,General,94.99,2510
89,97,73,259,General,94.99,2510
93,95,69,257,OBC,94.99,2510
98,89,72,259,General,94.99,2510
69,99,87,255,SC,94.99,2510
82,91,86,259,General,94.99,2510
66,99,92,257,OBC,94.99,2510
94,80,83,257,OBC,94.99,2510
94,69,92,255,SC,94.99,2510
59,100,96,255,SC,94.99,2510
89,95,74,258,EWS,94.99,2510
90,90,77,257,OBC,94.99,2510
84,81,94,259,General,94.99,2510
82,89,87,258,EWS,94.99,2510
86,81,92,259,General,94.99,2510
74,95,90,259,General,94.99,2510
88,74,93,255,SC,94.99,2510
70,92,95,257,OBC,94.99,2510
76,99,83,258,EWS,94.99,2510
77,83,99,259,General,94.99,2510
81,97,79,257,OBC,94.99,2510
87,77,95,259,General,94.99,2510
97,87,75,259,General,94.99,2510
95,91,73,259,General,94.99,2510
92,86,81,259,General,94.99,2510
80,97,82,259,General,94.99,2510
72,93,92,257,OBC,94.99,2510
98,89,72,259,General,94.99,2510
81,74,100,255,SC,94.99,2510
95,73,91,259,General,94.99,2510
99,93,64,256,OBC,94.86,2641
84,74,100,258,General,94.86,2641
90,79,89,258,General,94.86,2641
91,73,92,256,OBC,94.86,2641
79,80,99,258,General,94.86,2641
84,98,75,257,EWS,94.86,2641
86,76,94,256,OBC,94.86,2641
100,72,86,258,General,94.86,2641
82,77,99,258,General,94.86,2641
90,76,90,256,OBC,94.86,2641
72,92,90,254,SC,94.86,2641
89,88,81,258,General,94.86,2641
82,97,79,258,General,94.86,2641
79,80,93,252,ST,94.86,2641
88,96,73,257,EWS,94.86,2641
86,88,82,256,OBC,94.86,2641
92,80,84,256,OBC,94.86,2641
85,83,88,256,OBC,94.86,2641
99,100,57,256,OBC,94.86,2641
93,77,84,254,SC,94.86,2641
73,97,87,257,EWS,94.86,2641
86,94,76,256,OBC,94.86,2641
93,88,77,258,General,94.86,2641
97,58,99,254,SC,94.86,2641
94,85,77,256,OBC,94.86,2641
91,76,87,254,SC,94.86,2641
71,97,90,258,General,94.86,2641
85,89,84,258,General,94.86,2641
72,93,92,257,EWS,94.86,2641
78,80,98,256,OBC,94.86,2641
94,94,64,252,ST,94.86,2641
74,89,91,254,SC,94.86,2641
79,88,89,256,OBC,94.86,2641
83,75,100,258,General,94.86,2641
90,89,77,256,OBC,94.86,2641
71,94,89,254,SC,94.86,2641
84,84,88,256,OBC,94.86,2641
80,88,84,252,ST,94.86,2641
79,87,92,258,General,94.86,2641
87,74,93,254,SC,94.86,2641
95,89,74,258,General,94.86,2641
100,58,98,256,OBC,94.86,2641
87,98,67,252,ST,94.86,2641
100,59,95,254,SC,94.86,2641
74,87,97,258,General,94.86,2641
86,87,85,258,General,94.86,2641
74,88,96,258,General,94.86,2641
98,81,77,256,OBC,94.86,2641
88,83,83,254,SC,94.86,2641
82,76,96,254,SC,94.86,2641
100,94,64,258,General,94.86,2641
100,83,75,258,General,94.86,2641
98,97,62,257,General,94.73,2777
70,91,94,255,OBC,94.73,2777
87,73,95,255,OBC,94.73,2777
87,74,92,253,SC,94.73,2777
87,72,96,255,OBC,94.73,2777
73,86,96,255,OBC,94.73,2777
66,96,91,253,SC,94.73,2777
80,97,80,257,General,94.73,2777
69,89,97,255,OBC,94.73,2777
99,74,82,255,OBC,94.73,2777
96,74,87,257,General,94.73,2777
84,95,76,255,OBC,94.73,2777
70,89,97,256,EWS,94.73,2777
82,82,92,256,EWS,94.73,2777
77,86,92,255,OBC,94.73,2777
97,68,86,251,ST,94.73,2777
90,78,87,255,OBC,94.73,2777
97,78,82,257,General,94.73,2777
60,100,95,255,OBC,94.73,2777
71,88,97,256,EWS,94.73,2777
100,63,92,255,OBC,94.73,2777
73,94,88,255,OBC,94.73,2777
85,69,99,253,SC,94.73,2777
80,96,81,257,General,94.73,2777
87,95,75,257,General,94.73,2777
